frequency [Hz],input_power [dBm]
1700000000.0,-4.673469387755102
1720408163.2653062,-7.020408163265306
1740816326.5306122,-6.081632653061224
1761224489.7959185,-6.551020408163264
1781632653.0612245,-6.551020408163264
1802040816.3265307,-5.612244897959183
1822448979.5918367,-7.489795918367347
1842857142.857143,-6.081632653061224
1863265306.122449,-6.551020408163264
1883673469.3877552,-3.2653061224489797
1904081632.6530612,-5.142857142857142
1924489795.9183674,-3.2653061224489797
1944897959.1836734,-5.142857142857142
1965306122.4489796,-15.0
1985714285.7142859,-6.081632653061224
2006122448.9795918,-15.0
2026530612.2448978,-5.612244897959183
2046938775.510204,-1.3877551020408152
2067346938.7755103,-6.081632653061224
2087755102.0408163,-1.3877551020408152
2108163265.3061223,-5.142857142857142
2128571428.5714285,-0.44897959183673386
2148979591.836735,-4.204081632653061
2169387755.102041,-3.2653061224489797
2189795918.367347,-5.612244897959183
2210204081.632653,-2.795918367346939
2230612244.897959,-3.7346938775510203
2251020408.163265,-0.44897959183673386
2271428571.4285717,-6.081632653061224
2291836734.6938777,-2.795918367346939
2312244897.9591837,-5.142857142857142
2332653061.2244897,-2.795918367346939
2353061224.4897957,-7.020408163265306
2373469387.755102,-2.3265306122448965
2393877551.020408,-5.612244897959183
2414285714.285714,-2.3265306122448965
2434693877.5510206,-3.2653061224489797
2455102040.8163266,-1.8571428571428559
2475510204.0816326,-3.2653061224489797
2495918367.3469386,-3.7346938775510203
2516326530.6122446,-4.204081632653061
2536734693.877551,-2.795918367346939
2557142857.142857,-3.7346938775510203
2577551020.408163,-3.7346938775510203
2597959183.6734695,-4.673469387755102
2618367346.9387755,-3.7346938775510203
2638775510.2040815,-4.204081632653061
2659183673.469388,-3.2653061224489797
2679591836.734694,-5.142857142857142
2700000000.0,-3.2653061224489797
