frequency [Hz],input_power [dBm]
2122110552.7638192,-8.946997430591924
2127135678.39196,-9.004070124377595
2132160804.0201006,-9.013392755633422
2137185929.6482413,-9.037722549398627
2142211055.276382,-9.077969030673783
2147236180.9045227,-9.117305986948367
2152261306.5326633,-9.155164965097029
2157286432.160804,-9.294890743309358
2162311557.7889447,-9.455762977784904
2167336683.4170856,-9.577411946610937
2172361809.045226,-9.607653652879836
2177386934.673367,-9.569339912230891
2182412060.3015075,-9.553764296596158
2187437185.9296484,-9.543986902840047
2192462311.557789,-9.517155915323277
2197487437.18593,-9.415971259010036
2202512562.81407,-9.293299074558364
2207537688.442211,-9.194729302621758
2212562814.0703516,-9.162213783851435
2217587939.6984925,-9.062166033788904
2222613065.3266335,-8.9844016462403
2227638190.954774,-8.924827758703067
2232663316.5829144,-8.862297914913986
2237688442.2110553,-8.765206121103303
2242713567.839196,-8.624457127265334
2247738693.4673367,-8.523386161577164
2252763819.0954776,-8.47029263966898
2257788944.723618,-8.372632392732942
2262814070.351759,-8.317151367698266
2267839195.9798994,-8.297369198935904
2272864321.6080403,-8.230746492644263
2277889447.236181,-8.169694626981105
2282914572.8643217,-8.182769048864277
2287939698.492462,-8.071920689419995
2292964824.120603,-8.092271311307714
2297989949.748744,-7.9874485549922
2303015075.3768845,-7.877168648673274
2308040201.005025,-7.766775051729278
2313065326.633166,-7.677073148548214
2318090452.261307,-7.671729689169874
2323115577.889447,-7.652515973532865
2328140703.517588,-7.630914754769366
2333165829.1457286,-7.694922576684371
2338190954.7738695,-7.7200482048250745
2343216080.40201,-7.682643989176697
2348241206.030151,-7.692876145433091
2353266331.6582913,-7.714591054821662
2358291457.2864323,-7.770981604856907
2363316582.9145727,-7.88524068305332
2368341708.5427136,-7.865685895541098
2373366834.1708546,-7.868869233043089
2378391959.798995,-7.8714841174197225
2383417085.4271355,-7.930034789331318
2388442211.0552764,-7.974260442483958
2393467336.6834173,-7.984151526865141
2398492462.311558,-8.040201005025171
2403517587.9396987,-8.111598717569795
2408542713.567839,-8.106482639441596
2413567839.19598,-8.127060642579458
2418592964.8241205,-8.199367880124651
2423618090.4522614,-8.205734555128629
2428643216.080402,-8.293276336433346
2433668341.708543,-8.38638895836654
2438693467.3366833,-8.495190886559541
2443718592.964824,-8.586939220991887
2448743718.592965,-8.681416130425934
2453768844.2211056,-8.739739421087386
2458793969.849246,-8.739625730462317
2463819095.477387,-8.565679074103597
2468844221.105528,-8.607630914754818
2473869346.7336683,-8.732917983583123
2478894472.3618093,-8.906296186816485
2483919597.9899497,-9.261124627663255
2488944723.6180906,-9.538416062211565
2493969849.246231,-9.672343618545268
2498994974.874372,-9.777962209236282
2504020100.5025125,-9.784556265490403
2509045226.1306534,-9.742945496714396
2514070351.758794,-9.610382227881544
2519095477.3869348,-9.361172377725786
2524120603.0150757,-8.984742718115514
2529145728.643216,-8.571818367857436
