frequency [Hz],input_power [dBm]
1700000000.0,-5.01010101010101
1720408163.2653062,-6.171717171717171
1740816326.5306122,-6.8686868686868685
1761224489.7959185,-5.9393939393939394
1781632653.0612245,-7.565656565656566
1802040816.3265307,-5.9393939393939394
1822448979.5918367,-7.333333333333333
1842857142.857143,-7.333333333333333
1863265306.122449,-7.101010101010101
1883673469.3877552,-3.616161616161616
1904081632.6530612,-6.8686868686868685
1924489795.9183674,-4.080808080808081
1944897959.1836734,-6.636363636363637
1965306122.4489796,-15.0
1985714285.7142859,-6.404040404040405
2006122448.9795918,-3.616161616161616
2026530612.2448978,-7.333333333333333
2046938775.510204,-3.1515151515151523
2067346938.7755103,-4.545454545454545
2087755102.0408163,-0.8282828282828287
