frequency [Hz],input_power [dBm]
1700000000.0,-5.4322774012379735
1720408163.2653062,-5.685041376898634
1740816326.5306122,-5.262349265306868
1761224489.7959185,-5.565341157828611
1781632653.0612245,-7.086294097125049
1802040816.3265307,-6.3305792491763455
1822448979.5918367,-7.438125168483038
1842857142.857143,-5.781575091115057
1863265306.122449,-7.441778784954604
1883673469.3877552,-3.522741212272141
1904081632.6530612,-5.84508175856676
1924489795.9183674,-3.4031999901542687
1944897959.1836734,-5.7037703616541435
1965306122.4489796,-3.1348687528745147
1985714285.7142859,-11.33138737915635
2006122448.9795918,-6.462855651253018
2026530612.2448978,-5.565325865079336
2046938775.510204,-3.1605224763918525
2067346938.7755103,-4.574449882435649
2087755102.0408163,-0.7326625776960469
2108163265.3061223,-4.978305964018283
2128571428.5714285,-2.3164089295443233
2148979591.836735,-4.7094206510846846
2169387755.102041,-2.74091427197655
2189795918.367347,-5.669765810813903
2210204081.632653,-2.413773240507304
2230612244.897959,-4.581409683614799
2251020408.163265,-1.6556075988689014
2271428571.4285717,-4.598314839039958
2291836734.6938777,-1.799070365529741
2312244897.9591837,-4.574449882435649
2332653061.2244897,-3.167384639938346
2353061224.4897957,-5.243384792643692
2373469387.755102,-2.833936850504882
2393877551.020408,-5.441311864790624
2414285714.285714,-0.2648199524287502
2434693877.5510206,-5.583891518997293
2455102040.8163266,-0.6986295044657993
2475510204.0816326,-3.9830381676641
2495918367.3469386,-3.2466165136337826
2516326530.6122446,-4.878570178619944
2536734693.877551,-4.063335908189673
2557142857.142857,-5.484988042364112
2577551020.408163,-2.192048492222515
2597959183.6734695,-4.118829953902143
2618367346.9387755,-3.5329267076820656
2638775510.2040815,-4.325074155369096
2659183673.469388,-3.1553934488497357
2679591836.734694,-5.65811854991836
2700000000.0,-3.915604015923874
